﻿Title:,"Table 22 - Standard occupational classification of graduates entering work in the UK by provider"
Subtitle:,"Academic years 2017/18 to 2022/23"
Reference ID:,DT072 Table 22
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-22
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-22.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of provider,All 
,Permanent address,All 
,Level of qualification,All 
,Mode of former study,All 
,Work type marker,All 
,Academic year,2021/22 
Search:,


"UKPRN","Provider Name","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Total high skilled","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Total medium skilled","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total low skilled","Unknown","Total"
"10001778","Croydon College","5","0","5","15","0","0","5","10","0","0","5","5","0","25"
"10007842","University of Cumbria","45","735","125","905","20","10","50","80","25","5","25","55","0","1,040"
"10026767","Dartington Hall Trust (The)","5","5","0","5","0","0","0","0","0","0","0","0","0","10"
"10015688","David Game College Ltd","5","5","5","10","5","0","5","10","0","0","5","10","0","30"
"10001883","De Montfort University","120","1,075","575","1,770","225","40","115","380","150","35","110","300","15","2,460"
"10001919","DCG","5","25","15","40","5","10","10","30","5","0","5","10","0","80"
"10007851","University of Derby","145","1,215","525","1,885","100","35","150","290","75","25","65","165","10","2,345"
"10004695","DN Colleges Group","15","85","70","170","20","5","60","90","10","0","5","15","0","275"
"10007924","Dudley College of Technology","0","5","15","20","0","10","0","10","0","5","5","10","0","45"
"10007852","The University of Dundee","40","1,210","240","1,490","80","15","60","160","35","5","50","90","10","1,750"
"10007143","University of Durham","65","1,025","365","1,455","85","10","45","140","35","5","40","80","15","1,690"
"10007789","The University of East Anglia","75","1,335","410","1,820","140","15","70","225","60","10","60","130","10","2,180"
"10007144","The University of East London","70","535","310","915","115","30","100","245","65","30","65","160","15","1,330"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007823","Edge Hill University","35","890","225","1,150","75","10","105","190","60","5","60","130","5","1,475"
"10007772","Edinburgh Napier University","65","680","325","1,070","100","25","60","180","60","10","50","120","10","1,380"
"10007790","The University of Edinburgh","80","1,720","495","2,295","115","20","70","205","55","0","70","130","10","2,640"
"10006570","EKC GROUP","5","10","5","20","0","0","5","5","5","0","0","5","0","30"
"10022047","Empire College London Limited","5","0","5","10","5","0","5","10","5","5","5","15","0","35"
"10007791","The University of Essex","70","685","345","1,100","150","20","75","245","80","10","60","155","10","1,510"
"10008173","University College of Estate Management","60","225","50","335","0","0","0","0","0","0","0","0","0","335"
"10002130","East Surrey College","5","25","15","50","0","10","5","15","0","0","0","0","0","70"
"10002923","East Sussex College Group","5","10","15","30","0","10","5","20","5","0","5","10","0","60"
"10002313","ESCP Europe Business School","0","5","0","5","0","0","0","0","0","0","0","0","0","5"
"10002370","Exeter College","5","20","10","35","0","5","5","10","0","0","5","5","0","50"
"10007792","The University of Exeter","130","1,725","635","2,490","145","25","85","255","80","15","95","190","25","2,960"
"10008640","Falmouth University","40","185","245","470","55","20","45","120","75","5","55","140","0","730"
"10007928","Fareham College","0","20","10","30","0","0","5","10","0","0","0","5","0","45"
"10002412","Farnborough College of Technology","5","20","10","35","5","0","5","10","5","0","5","10","0","55"
"10045476","Met Film School Limited","0","5","35","45","5","0","5","10","0","0","0","0","0","55"
"10004511","The National Film and Television School","5","25","80","110","5","5","0","10","0","0","0","0","0","125"
"10038763","ForMission Ltd","0","0","0","5","0","0","0","0","0","0","0","0","0","5"
"10002599","Furness College","0","20","15","30","0","5","0","10","0","0","0","0","0","40"
"10022087","Futureworks","5","5","15","25","0","0","0","5","5","0","0","5","0","35"
"10002638","Gateshead College","0","20","10","30","0","10","5","10","0","0","5","10","0","55"
"10042500","Global Banking School Limited","10","5","5","20","5","10","25","40","10","20","30","60","0","120"
"10007762","Glasgow Caledonian University","90","1,140","325","1,560","125","20","65","210","70","15","50","135","10","1,910"
"10002681","Glasgow School of Art","5","55","105","170","5","10","10","25","15","0","10","30","5","225"
"10007794","The University of Glasgow","75","1,890","490","2,455","190","20","95","305","90","15","125","230","20","3,010"
"10002696","Gloucestershire College","0","10","10","20","0","0","5","5","5","0","10","15","0","45"
"10007145","University of Gloucestershire","55","510","325","885","60","20","70","155","50","10","55","115","5","1,160"
"10007833","Glyndŵr University","25","205","130","360","20","15","45","80","10","5","20","35","5","475"
"10002718","Goldsmiths College","30","440","285","755","60","10","35","105","40","0","30","75","5","935"
"10030408","Gower College Swansea","0","5","0","5","0","0","0","0","0","0","0","0","0","5"
"10002743","Grantham College","0","0","0","5","0","5","0","5","5","0","5","5","0","15"
"10007938","TEC Partnership","10","55","60","125","10","15","25","50","15","0","20","35","0","210"
"10007146","The University of Greenwich","85","930","370","1,385","130","25","110","265","90","15","75","175","15","1,840"
"10007825","Guildhall School of Music and Drama","5","35","70","110","5","5","5","15","0","0","5","5","0","130"
"10002852","Halesowen College","0","0","5","10","0","5","0","10","0","0","5","5","0","25"
"10002094","Ealing, Hammersmith & West London College","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10002899","Harlow College","0","5","5","10","0","5","0","10","0","0","5","5","0","20"
"10040812","Harper Adams University","50","185","120","355","5","25","15","45","10","10","40","60","0","460"
"10080811","Hartpury University","15","40","75","125","20","10","55","80","10","0","20","35","0","240"
"10005979","Havant and South Downs College","0","10","10","20","0","0","5","5","0","0","0","0","0","25"
"10007193","HCUC","0","10","5","15","5","5","10","20","10","0","10","25","0","60"
"10007289","Heart of Yorkshire Education Group","5","5","10","20","5","5","10","20","5","0","5","10","0","50"
"10003023","Herefordshire, Ludlow and North Shropshire College","0","5","0","5","0","5","0","5","0","0","0","0","0","10"
"10003022","Hereford College of Arts","0","10","15","20","0","5","0","10","5","0","5","15","0","45"
"10007764","Heriot-Watt University","50","545","180","775","45","15","15","75","40","20","30","90","5","940"
"10003035","Hertford Regional College","0","5","5","10","0","0","0","5","0","0","5","5","0","15"
"10007147","University of Hertfordshire","115","1,325","455","1,890","150","35","130","315","130","30","70","230","20","2,460"
"10003128","Holy Cross College","0","10","10","20","0","0","10","15","0","0","0","0","0","35"
"10003146","Hopwood Hall College","0","0","5","5","0","0","0","0","0","0","0","0","0","5"
"10007977","Heart of Worcestershire College","0","20","5","30","45","5","0","45","0","0","0","0","0","80"
"10007148","The University of Huddersfield","55","1,160","450","1,665","130","35","130","295","105","15","75","195","15","2,165"
"10003193","Hugh Baird College","0","10","15","25","5","0","5","15","5","0","0","5","0","45"
"10003200","Hull College","5","20","10","35","5","5","5","10","5","0","5","10","0","55"
"10007149","The University of Hull","65","640","235","940","85","20","105","205","85","15","75","175","5","1,325"
"10003239","ICON College of Technology and Management","5","10","5","20","5","15","10","30","10","10","15","30","0","80"
"10003270","Imperial College of Science, Technology and Medicine","140","1,480","235","1,860","10","10","5","25","5","0","10","15","10","1,910"
"10013220","Institute of Art - London Limited","5","0","0","5","0","0","0","0","0","0","0","0","0","10"
"10035638","Institute of Contemporary Music Performance","5","15","40","55","0","0","0","5","5","0","5","10","0","70"
"10029682","The Islamic College","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10082570","Kaplan International Colleges U.K. Limited","0","0","0","0","0","0","0","0","0","0","0","5","0","5"
"10021682","Kaplan Open Learning (Essex) Limited","15","40","25","85","15","0","5","20","5","0","0","5","0","110"
"10007767","Keele University","35","630","190","860","65","5","45","115","50","10","50","110","5","1,090"
"10003558","Kendal College","0","5","5","10","0","5","5","10","0","0","0","5","0","25"
"10007150","The University of Kent","55","605","390","1,055","135","15","90","235","85","10","85","185","15","1,485"
"10003676","Kingston Maurward College","0","0","0","0","0","0","0","0","5","0","0","5","0","5"
"10003645","King's College London","165","2,080","615","2,860","135","5","65","205","45","5","35","90","20","3,175"
"10003189","Kirklees College","0","5","5","10","0","0","0","5","0","0","0","5","0","15"
"10003678","Kingston University","80","605","350","1,035","115","35","100","245","90","25","60","175","10","1,465"
"10003753","Lakes College West Cumbria","5","30","15","50","0","15","5","15","0","0","0","0","0","65"
"10003758","LAMDA Limited","0","0","30","35","0","0","0","5","0","0","5","5","0","40"
"10007768","The University of Lancaster","65","855","325","1,245","95","15","45","155","45","0","75","120","10","1,535"
"10003854","Leeds Arts University","15","50","90","155","15","10","10","35","40","5","30","75","5","265"
"10003861","Leeds Beckett University","130","1,000","665","1,795","170","45","135","345","150","20","125","295","10","2,445"
"10003798","Le Cordon Bleu Limited","0","5","5","5","0","35","0","35","0","0","0","0","0","45"
"10034449","Leeds Conservatoire","5","25","65","95","10","5","5","25","15","5","25","40","0","160"
"10024962","Leeds City College","10","30","30","75","5","0","30","40","15","5","15","35","0","150"
"10003855","Leeds College of Building","10","75","15","100","0","5","0","5","0","0","0","0","0","105"
"10007795","The University of Leeds","85","1,710","670","2,470","165","20","90","275","75","5","90","170","10","2,920"
"10003863","Leeds Trinity University","35","320","145","495","45","10","55","110","20","5","20","45","0","650"
"10003867","Leicester College","0","15","20","35","5","5","10","15","0","5","5","10","0","60"
"10007796","The University of Leicester","55","710","270","1,030","95","10","60","165","50","5","45","100","5","1,305"
"10007500","Wigan and Leigh College","5","55","15","75","0","5","5","10","0","0","5","5","0","90"
"10003928","Lincoln College","5","35","20","55","0","5","5","10","0","5","5","5","0","75"
"10007151","The University of Lincoln","130","845","490","1,460","170","35","130","335","125","20","115","255","20","2,070"
"10003956","Liverpool Hope University","10","385","100","500","50","5","75","130","40","5","35","75","0","705"
"10003957","Liverpool John Moores University","145","1,655","665","2,470","200","30","150","380","140","20","110","270","10","3,135"
"10003945","The Liverpool Institute for Performing Arts","5","15","75","95","0","5","15","20","5","0","10","15","0","135"
"10006842","The University of Liverpool","90","1,310","550","1,955","170","25","65","265","90","5","110","205","10","2,430"
"10003958","Liverpool School of Tropical Medicine","0","65","5","70","0","0","0","0","0","0","0","0","0","75"
"10007820","Grŵp Llandrillo Menai","10","35","50","90","5","10","25","40","5","0","10","15","0","150"
"10007162","University of the Arts, London","70","320","475","865","90","40","45","175","95","15","55","165","10","1,215"
"10013109","London Bridge Business Academy","0","0","0","0","0","0","5","5","0","5","0","5","0","10"
"10007769","London Business School","55","150","45","250","0","0","0","0","0","0","0","0","5","255"
"10007797","University of London (Institutes and activities)","10","65","10","80","5","0","5","5","0","0","0","0","0","90"
"10039082","City and Guilds of London Art School","5","5","10","15","0","0","0","5","0","0","5","5","0","25"
"10023434","London School of Commerce & IT Limited","5","0","0","5","0","0","0","5","0","0","5","10","0","15"
"10004036","London Film School Limited","0","0","5","5","0","0","0","0","0","0","0","0","0","5"
"10015506","The London College","25","15","25","65","10","55","15","80","10","55","40","105","5","255"
"10004048","London Metropolitan University","40","290","215","545","70","15","90","170","50","15","40","105","10","825"
"10032594","London School of Academics Ltd","5","10","5","15","5","0","10","15","0","0","0","5","0","35"
"10004078","London South Bank University","110","1,065","260","1,435","90","25","75","190","60","5","40","105","5","1,735"
"10004063","London School of Economics and Political Science","55","780","225","1,060","30","0","0","35","5","0","5","15","15","1,125"
"10007771","London School of Hygiene and Tropical Medicine","5","125","20","150","0","0","0","0","0","0","0","0","0","150"
"10022285","London School of Management Education","10","5","5","20","15","5","15","35","10","10","10","30","0","85"
"10004075","London School of Theology","5","10","15","30","0","0","0","5","0","0","0","0","0","35"
"10004079","London Studio Centre","0","5","15","25","0","0","0","5","0","0","0","5","0","30"
"10062810","The London School of Architecture","0","5","20","25","0","0","0","0","0","0","0","0","0","25"
"10008289","The London Institute of Banking & Finance","10","15","15","40","0","0","0","0","0","0","0","0","0","45"
"10004035","The Film Education Training Trust Limited","0","0","10","10","0","0","0","5","0","0","0","0","0","15"
"10004112","Loughborough College","10","25","40","75","10","5","10","25","10","0","10","15","0","120"
"10004113","Loughborough University","105","1,175","520","1,800","90","15","45","150","35","10","45","85","10","2,045"
"10023139","LTE Group","5","25","35","60","5","5","40","50","15","0","15","30","0","145"
"10009612","Luther King House Educational Trust","0","5","0","10","0","0","0","0","0","0","0","0","0","10"
"10004144","Macclesfield College","0","5","0","10","0","0","0","5","0","0","0","0","0","15"
"10004180","The Manchester Metropolitan University","190","1,775","1,075","3,035","320","45","200","565","210","20","180","410","25","4,035"
"10007798","The University of Manchester","120","2,360","640","3,120","195","35","90","315","85","5","95","185","20","3,640"
"10009527","Istituto Marangoni Limited","0","5","15","20","0","0","0","0","0","0","0","0","0","25"
"10023452","The Markfield Institute of Higher Education","0","15","0","15","0","0","0","0","0","0","0","0","0","20"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","5","5","10","0","0","0","0","0","0","0","0","0","10"
"10020416","Missio Dei","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10004320","The Metanoia Institute","0","15","10","25","0","0","0","0","0","0","0","0","0","30"
"10004344","Middlesbrough College","5","20","30","55","5","15","15","35","10","0","5","15","0","105"
"10004351","Middlesex University","90","645","405","1,140","95","20","105","215","75","15","55","145","15","1,515"
"10004375","Milton Keynes College","0","5","15","20","0","0","0","5","0","0","5","5","0","30"
"10032277","The Minster Centre","0","20","5","25","0","0","0","0","0","0","0","0","0","25"
"10004340","Mid-Kent College","5","10","5","20","0","0","0","5","0","0","0","5","0","25"
"10049370","MLA College","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10004450","Mountview Academy of Theatre Arts","0","10","35","50","5","0","5","10","0","0","5","5","0","60"
"10023777","Mont Rose College of Management and Sciences","10","20","15","40","10","5","30","50","5","10","20","40","5","135"
"10023454","Moorlands College","0","10","10","25","5","0","5","5","5","0","0","5","0","35"
"10004432","Morley College Limited","0","0","5","5","0","0","0","5","0","0","0","0","0","10"
"10004442","Moulton College","0","0","0","5","5","0","5","5","0","0","0","0","0","10"
"10004478","Myerscough College","10","15","35","55","5","25","5","35","5","0","5","10","0","105"
"10000216","All Nations Christian College","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10004538","Nazarene Theological College","0","10","10","20","0","0","0","0","0","0","0","0","0","25"
"10004552","Nelson and Colne College","0","15","15","35","0","5","5","10","0","0","0","0","0","45"
"10004576","New College Durham","15","55","30","105","10","15","25","45","10","20","20","50","5","205"
"10006963","New City College","0","30","5","40","0","0","5","5","0","0","0","0","0","45"
"10030129","Nelson College London Ltd","15","0","5","20","10","15","20","50","5","15","20","40","0","110"
"10004686","North East Surrey College of Technology (NESCOT)","5","25","15","45","0","0","10","15","0","0","10","15","0","70"
"10004596","Newbury College","0","10","10","20","0","5","0","5","0","0","0","0","0","25"
"10023456","Newbold College","0","5","5","5","0","0","0","0","0","0","0","0","0","10"
"10007799","Newcastle University","75","1,590","515","2,180","130","30","70","230","85","15","85","185","15","2,605"
"10004599","NCG","20","90","100","205","25","25","45","95","35","15","20","70","5","375"
"10048199","New College of the Humanities","0","10","5","15","0","0","0","0","0","0","0","0","0","15"
"10007832","Newman University","10","200","55","260","20","0","40","55","15","0","5","20","0","340"
"10004690","North Hertfordshire College","5","5","0","10","5","10","5","15","0","10","5","15","0","45"
"10008397","Norland College","0","0","0","0","0","0","50","50","0","0","0","0","0","50"
"10007138","The University of Northampton","65","600","250","910","90","15","120","225","55","15","35","110","5","1,250"
"10020372","Northern Regional College","10","30","40","80","15","15","25","55","10","0","5","15","0","150"
"10007011","Northampton College","0","10","10","20","0","0","0","5","0","0","5","5","0","30"
"10001503","The Northern School of Art","0","10","30","40","10","5","10","25","10","0","10","20","0","90"
"10004772","City College Norwich","10","15","35","60","5","10","15","25","0","0","10","15","0","100"
"10004577","Nottingham College","0","20","15","35","5","5","10","20","0","0","10","10","0","65"
"10009614","Grŵp NPTC Group","0","5","0","5","0","5","0","10","0","0","5","5","0","20"
