"UKPRN","Provider Name","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Total high skilled","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Total medium skilled","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total low skilled","Unknown","Total"
10004603,"Newcastle and Stafford Colleges Group",10,15,50,70,15,10,20,50,45,0,40,90,0,215
10004607,"Newham College of Further Education",0,10,10,20,0,0,10,15,0,0,5,15,0,50
10004676,"Petroc",20,40,105,165,10,5,65,95,25,0,15,35,0,285
10004686,"North East Surrey College of Technology (NESCOT)",30,140,90,260,10,15,80,115,20,30,60,120,0,490
10004690,"North Hertfordshire College",10,15,0,30,10,10,5,25,0,10,10,25,0,85
10004695,"DN Colleges Group",80,420,380,880,80,85,295,465,55,25,45,125,0,1475
10004718,"North Warwickshire and South Leicestershire College",5,40,45,90,5,5,20,35,30,0,25,60,0,190
10004721,"North Kent College",5,15,25,40,0,5,5,20,10,0,15,30,0,90
10004736,"Greater Brighton Metropolitan College",5,70,85,165,15,40,30,85,40,10,50,100,0,355
10004740,"Northern College of Acupuncture",0,70,5,80,0,0,0,5,0,0,0,0,0,85
10004760,"Northumberland College",0,10,20,30,0,5,20,25,10,0,5,10,0,60
10004772,"City College Norwich",15,145,165,330,20,40,80,135,25,0,35,60,0,525
10004775,"Norwich University of the Arts",55,470,495,1010,90,60,80,235,240,10,150,405,0,1645
10004797,"The Nottingham Trent University",1070,8950,6765,16795,1865,455,1465,3790,1470,180,1175,2815,100,23485
10004835,"Oaklands College",5,90,55,160,0,25,0,25,0,0,0,0,0,185
10004927,"Activate Learning",25,85,75,185,5,30,30,70,20,40,20,75,0,335
10004930,"Oxford Brookes University",685,5640,2655,8970,685,210,575,1475,435,55,350,845,45,11315
10005032,"Salford City College",10,30,15,50,5,10,20,35,5,0,5,20,0,110
10005072,"Peter Symonds College",10,65,70,135,5,0,35,40,0,0,0,0,0,180
10005077,"Inspire Education Group",0,20,10,25,0,10,0,10,0,0,0,0,0,35
10005124,"Plumpton College",35,30,45,100,10,15,20,45,10,0,0,20,0,175
10005127,"Arts University Plymouth",45,130,215,390,50,40,60,150,125,25,110,260,0,795
10005128,"City College Plymouth",35,245,110,400,15,55,35,105,35,5,40,85,0,585
10005200,"Preston College",15,80,50,150,5,10,10,30,0,5,0,10,0,200
10005337,"Queen Margaret University, Edinburgh",130,1690,545,2365,165,35,150,355,170,15,150,335,0,3050
10005343,"Queen's University Belfast",370,9925,2130,12430,650,110,415,1170,495,45,325,875,60,14525
10005378,"Rambert School",0,0,15,15,0,0,0,0,0,0,0,5,0,15
10005389,"Ravensbourne University London",75,330,640,1035,85,50,60,200,155,5,90,255,5,1520
10005404,"Reaseheath College",20,40,55,125,15,25,110,160,55,15,55,130,0,410
10005451,"Arden University",185,315,255,770,110,35,195,345,45,30,55,140,20,1265
10005465,"Richard Huish College",0,0,5,5,0,0,0,5,0,0,0,5,0,10
10005469,"Richmond upon Thames College",0,5,10,15,0,0,0,0,0,0,0,0,0,20
10005470,"Richmond, The American International University in London",20,25,40,85,10,0,5,30,5,0,10,15,0,145
10005500,"Robert Gordon University",475,4325,1385,6180,505,120,320,940,300,50,255,600,25,7760
10005523,"Rose Bruford College of Theatre and Performance",25,75,270,355,15,35,50,95,20,10,65,90,0,555
10005534,"RNN Group",10,135,90,235,15,40,105,170,30,10,40,85,0,485
10005544,"Royal Academy of Dance",0,60,65,140,0,0,5,5,0,0,0,0,0,150
10005545,"Royal Agricultural University",185,365,245,795,75,65,70,195,40,25,130,190,15,1195
10005553,"Royal Holloway and Bedford New College",260,3130,1755,5145,615,45,330,990,350,20,245,615,30,6780
10005561,"Royal Conservatoire of Scotland",20,295,290,600,15,25,30,75,25,10,35,60,0,745
10005575,"Runshaw College",0,5,10,15,5,0,5,5,5,0,0,5,0,30
10005583,"Ruskin College",0,15,10,25,5,0,5,10,0,0,0,0,0,40
10005669,"Sandwell College",0,5,5,10,0,0,0,0,5,0,0,10,0,20
10005700,"SRUC",130,180,195,500,70,310,160,540,120,40,235,390,0,1425
10005736,"Unified Seevic Palmer's College",15,15,10,45,0,25,15,45,15,30,35,70,5,185
10005741,"Selby College",5,25,35,60,0,15,35,50,10,0,15,30,0,145
10005788,"The Sheffield College",25,65,80,170,10,25,40,75,45,5,60,105,0,350
10005790,"Sheffield Hallam University",850,11710,3915,16465,1125,360,995,2480,920,155,815,1890,75,20905
10005822,"Shrewsbury Colleges Group",0,15,20,40,0,15,10,25,5,0,0,10,0,80
10005916,"Slough Borough Council",0,0,5,5,0,0,0,0,5,0,5,5,0,15
10005946,"Solihull College and University Centre",35,180,90,305,5,30,40,80,15,0,25,40,0,435
10005967,"South & City College Birmingham",20,90,35,145,15,5,15,45,15,5,10,40,0,230
10005972,"Cheshire College South and West",20,90,85,195,10,35,40,90,30,5,25,60,0,335
10005977,"South Devon College",30,120,165,325,15,10,90,115,45,0,30,80,0,525
10005979,"Havant and South Downs College",0,45,35,90,0,15,20,35,5,0,5,10,0,130
10005981,"South Essex College of Further and Higher Education",5,185,125,325,25,25,35,95,35,10,20,60,0,480
10005998,"The Trafford College Group",10,135,105,270,10,35,55,105,15,0,5,20,0,390
10005999,"Tyne Coast College",25,95,160,285,15,165,20,200,20,25,25,75,10,570
10006020,"Southampton City College",5,30,45,80,0,5,0,10,0,0,0,15,0,110
10006022,"Solent University",390,1500,1790,3680,390,155,390,930,510,90,410,1010,35,5665
10006038,"Southport College",5,30,25,60,5,5,35,55,10,0,10,25,0,130
10006050,"Sparsholt College",10,65,95,175,5,35,105,150,45,5,20,75,0,400
10006093,"Spurgeon's College",0,105,30,140,0,0,5,10,0,0,0,0,0,155
10006174,"St Helens College",15,110,105,215,30,75,35,125,25,10,30,70,0,410
10006226,"St Mary's College",0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006243,"St Patrick's International College",15,0,15,30,25,10,85,115,15,10,25,50,5,195
10006299,"Staffordshire University",600,4940,2800,8330,465,300,715,1470,505,90,525,1120,85,11000
10006303,"New College Stamford",0,10,15,35,0,0,15,15,5,0,5,10,0,60
10006322,"Stephenson College",0,30,15,45,0,10,0,20,0,0,0,0,0,65
10006378,"Strode College",0,10,20,45,0,5,15,25,20,0,15,30,0,95
10006427,"University for the Creative Arts",125,610,955,1705,225,120,195,535,395,50,285,735,15,3000
10006442,"Birmingham Metropolitan College",0,60,30,80,0,35,5,50,10,0,25,35,0,175
10006463,"Swindon College",0,15,10,25,0,5,5,15,0,0,0,5,0,40
10006494,"Tameside College",10,70,40,110,0,30,20,50,5,0,10,35,0,205
10006549,"Telford College",0,10,15,30,0,20,0,20,0,0,0,10,0,65
10006566,"The University of West London",400,2535,1345,4280,465,135,435,1050,315,100,305,715,60,6100
10006570,"EKC GROUP",15,35,15,65,0,5,15,25,10,0,15,30,0,115
10006770,"The Oldham College",10,115,100,220,25,5,90,125,30,0,20,55,0,395
10006840,"The University of Birmingham",1345,13800,3860,19005,1105,110,570,1780,525,55,450,1025,80,21895
10006841,"The University of Bolton",145,1805,805,2765,155,80,425,660,165,40,165,375,20,3815
10006842,"The University of Liverpool",510,7545,2945,11005,1055,125,445,1625,625,50,605,1280,65,13965
10006963,"New City College",40,120,45,210,20,15,55,100,15,45,55,110,5,425
10007011,"Northampton College",0,30,25,60,0,0,0,10,0,0,15,30,0,95
10007063,"Truro and Penwith College",15,85,120,225,30,10,105,155,45,0,45,90,0,470
10007114,"University of the Highlands and Islands",380,2090,1395,3865,495,430,765,1695,450,100,495,1055,30,6640
10007137,"The University of Chichester",200,1905,1080,3185,230,75,405,710,260,40,245,545,20,4455
10007138,"The University of Northampton",365,3860,1440,5665,510,100,720,1320,390,75,280,745,40,7780
10007139,"University of Worcester",250,4360,1560,6180,320,55,850,1225,295,35,270,595,30,8025
10007140,"Birmingham City University",620,8920,3360,12895,1090,245,765,2105,1075,130,700,1915,85,16990
10007141,"The University of Central Lancashire",500,6145,2700,9340,650,200,690,1540,735,85,535,1350,35,12265
10007143,"University of Durham",395,6320,2200,8920,590,50,265,900,205,25,280,510,50,10375
10007144,"The University of East London",450,3255,1830,5540,495,110,720,1320,390,110,325,830,55,7750
10007145,"University of Gloucestershire",380,2925,1780,5085,455,100,535,1105,455,55,405,905,30,7125
10007146,"The University of Greenwich",540,5870,2200,8610,765,140,575,1485,570,85,360,1005,45,11150
10007147,"University of Hertfordshire",685,8000,2680,11355,975,235,755,1960,795,145,460,1410,80,14815
10007148,"The University of Huddersfield",385,5660,2285,8330,725,170,675,1575,665,100,445,1210,50,11165
10007149,"The University of Hull",355,4510,1600,6475,550,130,595,1265,525,70,425,1020,40,8795
10007150,"The University of Kent",405,4100,2690,7195,1020,110,590,1710,625,65,475,1155,55,10120
10007151,"The University of Lincoln",750,4395,2755,7890,940,195,770,1910,795,90,730,1600,70,11465
10007152,"University of Bedfordshire",325,3355,1135,4810,420,80,790,1290,305,100,345,750,45,6895
10007154,"University of Nottingham",620,13605,4060,18280,1070,130,640,1835,585,85,590,1270,95,21480
10007155,"The University of Portsmouth",1010,7245,4245,12495,1155,270,910,2350,905,135,780,1810,115,16775
10007156,"The University of Salford",665,6830,2820,10315,815,195,730,1745,770,110,645,1530,55,13640
10007157,"The University of Sheffield",455,9950,3115,13515,900,125,445,1480,475,55,455,980,45,16015
10007158,"The University of Southampton",445,9250,2420,12125,725,100,420,1245,435,50,350,825,50,14245
10007159,"The University of Sunderland",520,4485,1655,6660,535,195,1070,1795,605,195,540,1335,75,9870
10007160,"The University of Surrey",370,5625,1985,7975,495,65,250,795,260,30,180,480,40,9295
10007161,"Teesside University",460,6180,2045,8675,390,465,825,1685,460,165,440,1070,55,11475
10007162,"University of the Arts, London",420,1850,2740,5015,455,285,290,1030,565,60,355,975,45,7060
10007163,"The University of Warwick",1135,10730,3010,14880,595,55,295,940,285,25,220,525,75,16420
10007164,"University of the West of England, Bristol",810,9490,3990,14270,1065,270,705,2040,715,115,660,1480,80,17875
10007165,"The University of Westminster",690,3705,2790,7175,980,110,440,1525,770,60,355,1195,60,9960
10007166,"The University of Wolverhampton",440,5570,1615,7635,470,130,815,1425,500,80,380,980,60,10090
10007167,"The University of York",395,6740,2595,9730,895,105,520,1525,455,55,410,920,50,12235
10007193,"HCUC",10,30,20,60,20,30,25,70,55,0,50,105,0,250
10007289,"Heart of Yorkshire Education Group",15,85,105,205,30,25,85,145,40,0,45,85,0,440
10007315,"Walsall College",10,35,45,100,20,25,30,75,30,20,65,115,5,305
10007321,"Waltham Forest College",0,0,0,0,0,0,0,0,0,0,0,0,0,5
10007339,"Warrington & Vale Royal College",15,70,60,155,5,60,15,80,20,10,15,50,0,285
10007361,"Waverley Abbey College",5,45,95,140,0,0,0,10,0,0,0,0,0,155
10007417,"West Herts College",5,15,15,45,0,0,15,25,20,0,25,35,0,110
10007419,"West Kent and Ashford College",0,10,10,30,0,10,0,15,0,0,0,0,0,45
10007427,"West Nottinghamshire College",10,50,40,105,15,30,20,65,5,0,15,25,0,195
10007431,"West Suffolk College",5,45,10,60,0,10,0,10,0,0,0,0,0,85
10007434,"West Thames College",0,0,20,30,5,0,15,20,20,0,10,35,0,85
10007455,"The WKCIC Group",15,40,70,125,5,25,20,65,15,0,15,25,0,220
10007459,"Weston College of Further and Higher Education",35,155,140,325,15,10,35,65,40,0,25,70,0,460
10007469,"Weymouth College",0,15,35,60,0,0,25,25,15,0,5,25,0,110
10007500,"Wigan and Leigh College",15,205,105,325,0,60,45,105,15,5,25,50,0,485
10007527,"Wiltshire College and University Centre",5,85,40,130,5,20,25,55,25,0,10,25,0,215
10007553,"Wirral Metropolitan College",0,80,25,110,0,20,20,40,0,0,10,15,0,165
10007578,"City of Wolverhampton College",0,35,35,75,0,40,0,40,5,0,5,10,0,145
10007657,"Writtle University College",35,190,85,315,50,30,125,210,50,0,40,85,0,600
10007696,"Yeovil College",10,90,60,155,5,10,25,45,5,5,0,20,0,225
10007709,"York College",20,120,60,200,20,15,35,70,25,5,15,50,0,320
10007713,"York St John University",190,1775,890,2860,325,75,400,790,385,25,315,720,20,4390
10007759,"Aston University",570,4070,1800,6445,550,60,160,755,315,50,150,505,45,7755
10007760,"Birkbeck College",700,2740,1585,5035,510,60,270,840,160,40,130,335,50,6260
10007761,"Courtauld Institute of Art",20,145,115,275,70,0,20,90,20,0,5,30,0,400
10007762,"Glasgow Caledonian University",445,6120,1585,8150,620,120,345,1090,555,90,325,970,35,10240
10007764,"Heriot-Watt University",265,2760,945,3975,270,75,90,420,235,85,170,490,15,4900
